recipe_id,food_id,estimate_id,name,family_alias,modeled_final_edible_mass_g,yield_status,ingredient_count,missing_nutrients,household_serving_weight_g,notes
PH_DISH_040,FC001299,EST_PH_DISH_040_V1,"Bicol Express, pork belly, coconut milk and shrimp paste (recipe estimate)",Bicol express,990,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_041,FC001300,EST_PH_DISH_041_V1,"Pancit bihon, white chicken meat and vegetables (recipe estimate)",Pansit bihon,1325,ASSUMED_SUM_OF_COMPONENT_MASSES,9,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_042,FC001301,EST_PH_DISH_042_V1,"Pancit bihon, peeled shrimp and vegetables (recipe estimate)",Pansit bihon,1325,ASSUMED_SUM_OF_COMPONENT_MASSES,9,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_043,FC001302,EST_PH_DISH_043_V1,"Pancit sotanghon, white chicken meat and vegetables (recipe estimate)",Pansit sotanghon,1325,ASSUMED_SUM_OF_COMPONENT_MASSES,9,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_044,FC001303,EST_PH_DISH_044_V1,"Pancit miki, lean pork and vegetables (recipe estimate)",Pansit miki,1325,ASSUMED_SUM_OF_COMPONENT_MASSES,9,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_045,FC001304,EST_PH_DISH_045_V1,"Arroz caldo, white chicken meat and ginger (recipe estimate)",Lugaw manok,1955,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_046,FC001305,EST_PH_DISH_046_V1,"Goto, beef tripe and ginger (recipe estimate)",Lugaw goto,1955,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_047,FC001306,EST_PH_DISH_047_V1,"Lugaw, plain rice, ginger, no meat (recipe estimate)",Plain rice porridge,1783,ASSUMED_SUM_OF_COMPONENT_MASSES,6,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_048,FC001307,EST_PH_DISH_048_V1,"Tokwat baboy, tofu and lean pork, vinegar soy dressing (recipe estimate)",Tokwa at baboy,840,ASSUMED_SUM_OF_COMPONENT_MASSES,8,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_049,FC001308,EST_PH_DISH_049_V1,"Bangsilog, broiled bangus, fried rice and egg (recipe estimate)",Bangus silog,355,ASSUMED_SUM_OF_COMPONENT_MASSES,4,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_050,FC001309,EST_PH_DISH_050_V1,"Chicksilog, fried white chicken, fried rice and egg (recipe estimate)",Chicken silog,355,ASSUMED_SUM_OF_COMPONENT_MASSES,4,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
